ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Bereseh Mah,25 Band,Puerto Rico,2,2011,03:36,/var/home/miladsharifiteh/Music/25 Band/Puerto Rico/2-Bereseh Mah.mp3,mp3
2,Biya Biya,25 Band,Puerto Rico,3,2011,03:01,/var/home/miladsharifiteh/Music/25 Band/Puerto Rico/3-Biya Biya.mp3,mp3
3,Cheghad Tanhaei Badeh,25 Band,Puerto Rico,4,2011,03:55,/var/home/miladsharifiteh/Music/25 Band/Puerto Rico/4-Cheghad Tanhaei Badeh.mp3,mp3
4,Emshab Mikham,25 Band,Puerto Rico,5,2011,03:33,/var/home/miladsharifiteh/Music/25 Band/Puerto Rico/5-Emshab Mikham.mp3,mp3
5,Vaghte Parvaz (Remix),25 Band,Puerto Rico,8,2011,05:03,/var/home/miladsharifiteh/Music/25 Band/Puerto Rico/8-Vaghte Parvaz (Remix).mp3,mp3
6,Vaghte Parvaz,25 Band,Puerto Rico,7,2011,03:02,/var/home/miladsharifiteh/Music/25 Band/Puerto Rico/7-Vaghte Parvaz.mp3,mp3
7,Az Man Nagzar,25 Band,Puerto Rico,1,2011,03:26,/var/home/miladsharifiteh/Music/25 Band/Puerto Rico/1-Az Man Nagzar.mp3,mp3
8,Puerto Rico,25 Band,Puerto Rico,6,2011,03:40,/var/home/miladsharifiteh/Music/25 Band/Puerto Rico/6-Puerto Rico.mp3,mp3
9,Eshtebah,25 Band,Single Track,-,2010,04:23,/var/home/miladsharifiteh/Music/25 Band/Eshtebah.mp3,mp3
10,Faseleh,25 Band,Single Track,-,2010,04:00,/var/home/miladsharifiteh/Music/25 Band/Faseleh.mp3,mp3
11,Stay With Me,Jamin Ft Tamin,Single Track,-,2010,03:32,/var/home/miladsharifiteh/Music/25 Band/Stay With Me.mp3,mp3
12,Arousak,25 Band,Single Track,-,2011,03:20,/var/home/miladsharifiteh/Music/25 Band/Arousak.mp3,mp3
13,Bash Ta Bebini,25 Band,Single Track,-,2014,04:07,/var/home/miladsharifiteh/Music/25 Band/Bash Ta Bebini.mp3,mp3
14,Jo Gandomi,25 Band,Single Track,-,2019,03:40,/var/home/miladsharifiteh/Music/25 Band/Jo Gandomi.mp3,mp3
15,Gahi Vaghta (Remix),25 Band,Single Track,-,2012,04:26,/var/home/miladsharifiteh/Music/25 Band/Gahi Vaghta (Remix).mp3,mp3
16,Az Pisham Miri,25 Band,Single Track,-,2014,03:58,/var/home/miladsharifiteh/Music/25 Band/Az Pisham Miri.mp3,mp3
17,Hamisheh Ba Hamim,25 Band,Single Track,-,2013,04:27,/var/home/miladsharifiteh/Music/25 Band/Hamisheh Ba Hamim.mp3,mp3
18,Yalla,25 Band,Single Track,-,2022,03:00,/var/home/miladsharifiteh/Music/25 Band/Yalla.mp3,mp3
19,Delam Ab Shod,25 Band,Single Track,-,2020,03:03,/var/home/miladsharifiteh/Music/25 Band/Delam Ab Shod.mp3,mp3
20,Hazrate Yar,25 Band,Single Track,-,2020,03:06,/var/home/miladsharifiteh/Music/25 Band/Hazrate Yar.mp3,mp3
21,Eshghe Bedoune Hashiyeh,25 Band,Single Track,-,2022,03:07,/var/home/miladsharifiteh/Music/25 Band/Eshghe Bedoune Hashiyeh.mp3,mp3
22,Boland Sho,25 Band,Single Track,-,2022,02:44,/var/home/miladsharifiteh/Music/25 Band/Boland Sho.mp3,mp3
23,Ba To,25 Band,Single Track,-,2023,03:24,/var/home/miladsharifiteh/Music/25 Band/Ba To.mp3,mp3
24,Telesm,25 Band,Single Track,-,2023,03:12,/var/home/miladsharifiteh/Music/25 Band/Telesm.mp3,mp3
25,Fandak,25 Band,Four,2,2017,04:20,/var/home/miladsharifiteh/Music/25 Band/Four/2-Fandak.mp3,mp3
26,Baroun,25 Band,Four,3,2017,03:55,/var/home/miladsharifiteh/Music/25 Band/Four/3-Baroun.mp3,mp3
27,Cheghad Khoubeh,25 Band,Four,5,2017,03:44,/var/home/miladsharifiteh/Music/25 Band/Four/5-Cheghad Khoubeh.mp3,mp3
28,Ta Sobh Khouneh Narim,25 Band,Four,4,2017,03:59,/var/home/miladsharifiteh/Music/25 Band/Four/4-Ta Sobh Khouneh Narim.mp3,mp3
29,Enghad Bekhand,25 Band,Four,6,2017,03:29,/var/home/miladsharifiteh/Music/25 Band/Four/6-Enghad Bekhand.mp3,mp3
30,Ayandeh Tarikeh,25 Band,Four,7,2017,04:05,/var/home/miladsharifiteh/Music/25 Band/Four/7-Ayandeh Tarikeh.mp3,mp3
31,Estakhr,25 Band,Four,8,2017,03:58,/var/home/miladsharifiteh/Music/25 Band/Four/8-Estakhr.mp3,mp3
32,Male Man Shodi,25 Band,Four,1,2017,03:38,/var/home/miladsharifiteh/Music/25 Band/Four/1-Male Man Shodi.mp3,mp3
33,Ye Bade Khonak,25 Band,Hagh Ba Tost,3,2012,03:30,/var/home/miladsharifiteh/Music/25 Band/Hagh Ba Tost/3-Ye Bade Khonak.mp3,mp3
34,Daram Yakh Mizanam,25 Band,Hagh Ba Tost,4,2012,05:08,/var/home/miladsharifiteh/Music/25 Band/Hagh Ba Tost/4-Daram Yakh Mizanam.mp3,mp3
35,Hagh Ba Tost,25 Band,Hagh Ba Tost,1,2012,03:38,/var/home/miladsharifiteh/Music/25 Band/Hagh Ba Tost/1-Hagh Ba Tost.mp3,mp3
