ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Ghasam,Anoushirvan Rohani,Negar,4,1985,02:33,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/4-Ghasam.mp3,mp3
2,Soltane Ghalbha,Anoushirvan Rohani,Negar,5,1985,04:34,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/5-Soltane Ghalbha.mp3,mp3
3,Mehman,Anoushirvan Rohani,Negar,6,1985,03:43,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/6-Mehman.mp3,mp3
4,Ba To Boudan,Anoushirvan Rohani,Negar,7,1985,06:04,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/7-Ba To Boudan.mp3,mp3
5,Chileye Bolbol,Anoushirvan Rohani,Negar,8,1985,03:37,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/8-Chileye Bolbol.mp3,mp3
6,Che Alami Dareh,Anoushirvan Rohani,Negar,9,1985,04:16,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/9-Che Alami Dareh.mp3,mp3
7,Aziz Joun,Anoushirvan Rohani,Negar,1,1985,04:20,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/1-Aziz Joun.mp3,mp3
8,Bigharar,Anoushirvan Rohani,Negar,10,1985,03:35,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/10-Bigharar.mp3,mp3
9,Gole Sang II,Anoushirvan Rohani,Negar,11,1985,04:52,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/11-Gole Sang II.mp3,mp3
10,Ghesseye Tazeh,Anoushirvan Rohani,Negar,12,1985,04:36,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/12-Ghesseye Tazeh.mp3,mp3
11,Donya Donya,Anoushirvan Rohani,Negar,2,1985,04:12,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/2-Donya Donya.mp3,mp3
12,Gole Sang I,Anoushirvan Rohani,Negar,3,1985,05:35,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Negar/3-Gole Sang I.mp3,mp3
13,Yadegare Omr,Anoushirvan Rohani,Yadegare Omr 1,1,1992,10:04,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/1-Yadegare Omr.mp3,mp3
14,Jodaei,Anoushirvan Rohani,Yadegare Omr 1,2,1992,06:02,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/2-Jodaei.mp3,mp3
15,Nava,Anoushirvan Rohani,Yadegare Omr 1,3,1992,10:01,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/3-Nava.mp3,mp3
16,Bahaneh,Anoushirvan Rohani,Yadegare Omr 1,4,1992,04:40,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/4-Bahaneh.mp3,mp3
17,Hamzaban,Anoushirvan Rohani,Yadegare Omr 1,5,1992,04:01,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/5-Hamzaban.mp3,mp3
18,Ghamzeh,Anoushirvan Rohani,Yadegare Omr 1,6,1992,05:34,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/6-Ghamzeh.mp3,mp3
19,Mahtab,Anoushirvan Rohani,Yadegare Omr 1,7,1992,03:48,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/7-Mahtab.mp3,mp3
20,Razo Niyaz,Anoushirvan Rohani,Yadegare Omr 1,8,1992,03:09,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/8-Razo Niyaz.mp3,mp3
21,Afsoun,Anoushirvan Rohani,Yadegare Omr 1,9,1992,06:00,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 1/9-Afsoun.mp3,mp3
22,Bahaneh,Anoushirvan Rohani,Yadegare Omr 2,1,1993,04:43,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/1-Bahaneh.mp3,mp3
23,Ashegh Shodam (Overtour),Anoushirvan Rohani,Yadegare Omr 2,10,1993,01:06,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/10-Ashegh Shodam (Overtour).mp3,mp3
24,Ashegh Shodam,Anoushirvan Rohani,Yadegare Omr 2,11,1993,04:38,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/11-Ashegh Shodam.mp3,mp3
25,Zendegiye Shirin,Anoushirvan Rohani,Yadegare Omr 2,2,1993,04:06,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/2-Zendegiye Shirin.mp3,mp3
26,Mano To,Anoushirvan Rohani,Yadegare Omr 2,3,1993,05:24,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/3-Mano To.mp3,mp3
27,Ghasam Be To (Overtour),Anoushirvan Rohani,Yadegare Omr 2,4,1993,01:05,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/4-Ghasam Be To (Overtour).mp3,mp3
28,Ghasam Be To,Anoushirvan Rohani,Yadegare Omr 2,5,1993,04:54,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/5-Ghasam Be To.mp3,mp3
29,Faryad (Overtour),Anoushirvan Rohani,Yadegare Omr 2,6,1993,01:56,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/6-Faryad (Overtour).mp3,mp3
30,Faryad,Anoushirvan Rohani,Yadegare Omr 2,7,1993,04:58,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/7-Faryad.mp3,mp3
31,Khaleghe Eshgh (Overtour),Anoushirvan Rohani,Yadegare Omr 2,8,1993,01:34,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/8-Khaleghe Eshgh (Overtour).mp3,mp3
32,Khaleghe Eshgh,Anoushirvan Rohani,Yadegare Omr 2,9,1993,04:35,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Yadegare Omr 2/9-Khaleghe Eshgh.mp3,mp3
33,Part I,Anoushirvan Rohani,Tavallodet Mobarak 1,1,1976,20:36,/var/home/miladsharifiteh/Music/Anoushirvan Rohani/Tavallodet Mobarak 1/1-Part I.mp3,mp3
