ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Ole,Andy Ft Shani,Ole,1,2009,04:02,/var/home/miladsharifiteh/Music/Andy/Ole/1-Ole.mp3,mp3
2,Yalla,Andy,And My Heart,1,2000,05:12,/var/home/miladsharifiteh/Music/Andy/And My Heart/1-Yalla.mp3,mp3
3,Tabe To,Andy,And My Heart,10,2000,03:30,/var/home/miladsharifiteh/Music/Andy/And My Heart/10-Tabe To.mp3,mp3
4,Roya,Andy,And My Heart,11,2000,04:20,/var/home/miladsharifiteh/Music/Andy/And My Heart/11-Roya.mp3,mp3
5,Alagoz Acher,Andy,And My Heart,12,2000,03:53,/var/home/miladsharifiteh/Music/Andy/And My Heart/12-Alagoz Acher.mp3,mp3
6,Rayhan,Andy,And My Heart,13,2000,04:36,/var/home/miladsharifiteh/Music/Andy/And My Heart/13-Rayhan.mp3,mp3
7,Naz Ouni,Andy,And My Heart,14,2000,03:53,/var/home/miladsharifiteh/Music/Andy/And My Heart/14-Naz Ouni.mp3,mp3
8,You're The Reason,Andy,And My Heart,15,2000,03:28,/var/home/miladsharifiteh/Music/Andy/And My Heart/15-You're The Reason.mp3,mp3
9,Susi,Andy,And My Heart,16,2000,03:46,/var/home/miladsharifiteh/Music/Andy/And My Heart/16-Susi.mp3,mp3
10,Niloufare Bahar,Andy,And My Heart,2,2000,03:43,/var/home/miladsharifiteh/Music/Andy/And My Heart/2-Niloufare Bahar.mp3,mp3
11,Pendulum,Andy,And My Heart,3,2000,04:53,/var/home/miladsharifiteh/Music/Andy/And My Heart/3-Pendulum.mp3,mp3
12,Cerca Del Corazon,Andy,And My Heart,4,2000,04:03,/var/home/miladsharifiteh/Music/Andy/And My Heart/4-Cerca Del Corazon.mp3,mp3
13,Hotel California,Andy,And My Heart,5,2000,04:42,/var/home/miladsharifiteh/Music/Andy/And My Heart/5-Hotel California.mp3,mp3
14,To Nabashi,Andy,And My Heart,6,2000,05:11,/var/home/miladsharifiteh/Music/Andy/And My Heart/6-To Nabashi.mp3,mp3
15,In My Mind,Andy,And My Heart,7,2000,06:05,/var/home/miladsharifiteh/Music/Andy/And My Heart/7-In My Mind.mp3,mp3
16,Yadam Miyad,Andy,And My Heart,8,2000,04:06,/var/home/miladsharifiteh/Music/Andy/And My Heart/8-Yadam Miyad.mp3,mp3
17,Shabe Asheghi,Andy,And My Heart,9,2000,04:25,/var/home/miladsharifiteh/Music/Andy/And My Heart/9-Shabe Asheghi.mp3,mp3
18,Areh Areh,Andy,Platinum,1,2004,04:06,/var/home/miladsharifiteh/Music/Andy/Platinum/1-Areh Areh.mp3,mp3
19,Sarnevesht,Andy,Platinum,10,2004,04:10,/var/home/miladsharifiteh/Music/Andy/Platinum/10-Sarnevesht.mp3,mp3
