ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Unchain My Heart,Ebi,Single Track,-,1972,04:31,/var/home/miladsharifiteh/Music/Ebi/Unchain My Heart.mp3,mp3
2,Vaghti Be Masti Miresam,Ebi,Single Track,-,1973,02:18,/var/home/miladsharifiteh/Music/Ebi/Vaghti Be Masti Miresam.mp3,mp3
3,What Is Love,Ebi,Single Track,-,1972,04:28,/var/home/miladsharifiteh/Music/Ebi/What Is Love.mp3,mp3
4,Ba To,Ebi,Single Track,-,1972,05:01,/var/home/miladsharifiteh/Music/Ebi/Ba To.mp3,mp3
5,Mahi,Ebi,Single Track,-,1973,01:00,/var/home/miladsharifiteh/Music/Ebi/Mahi.mp3,mp3
6,Deltangi,Ebi,Single Track,-,1977,06:20,/var/home/miladsharifiteh/Music/Ebi/Deltangi.mp3,mp3
7,Enghelabe Sefid,Ebi,Single Track,-,2018,00:26,/var/home/miladsharifiteh/Music/Ebi/Enghelabe Sefid.mp3,mp3
8,Ghorbat,Ebi,Single Track,-,1983,02:50,/var/home/miladsharifiteh/Music/Ebi/Ghorbat.mp3,mp3
9,Hamzabounam Bash,Ebi,Single Track,-,1983,01:22,/var/home/miladsharifiteh/Music/Ebi/Hamzabounam Bash.mp3,mp3
10,Jahane Sevvom,Ebi,Single Track,-,1994,06:21,/var/home/miladsharifiteh/Music/Ebi/Jahane Sevvom.mp3,mp3
11,Jodaei,Ebi,Single Track,-,1974,04:56,/var/home/miladsharifiteh/Music/Ebi/Jodaei.mp3,mp3
12,Ketabe Soukhteh,Ebi,Single Track,-,1974,03:56,/var/home/miladsharifiteh/Music/Ebi/Ketabe Soukhteh.mp3,mp3
13,Maste Cheshat (Etod),Ebi,Single Track,-,1996,04:21,/var/home/miladsharifiteh/Music/Ebi/Maste Cheshat (Etod).mp3,mp3
14,Pir,Ebi,Single Track,-,1973,10:25,/var/home/miladsharifiteh/Music/Ebi/Pir.mp3,mp3
15,Rahe Man,Ebi,Single Track,-,1999,09:13,/var/home/miladsharifiteh/Music/Ebi/Rahe Man.mp3,mp3
16,Roustaei,Ebi,Single Track,-,1973,06:30,/var/home/miladsharifiteh/Music/Ebi/Roustaei.mp3,mp3
17,Sayeh,Ebi,Single Track,-,1975,03:19,/var/home/miladsharifiteh/Music/Ebi/Sayeh.mp3,mp3
18,Hayahou,Ebi,Single Track,-,1974,06:28,/var/home/miladsharifiteh/Music/Ebi/Hayahou.mp3,mp3
19,Tapesh,Ebi,Single Track,-,1974,03:58,/var/home/miladsharifiteh/Music/Ebi/Tapesh.mp3,mp3
20,Tohmat,Ebi,Single Track,-,1972,02:38,/var/home/miladsharifiteh/Music/Ebi/Tohmat.mp3,mp3
21,Vaedeh,Ebi,Single Track,-,1975,03:03,/var/home/miladsharifiteh/Music/Ebi/Vaedeh.mp3,mp3
22,Zalem,Ebi,Single Track,-,1994,03:29,/var/home/miladsharifiteh/Music/Ebi/Zalem.mp3,mp3
23,Zamin Larzid,Ebi,Single Track,-,1996,12:07,/var/home/miladsharifiteh/Music/Ebi/Zamin Larzid.mp3,mp3
24,Zanjiro Varchin,Ebi,Single Track,-,1999,03:37,/var/home/miladsharifiteh/Music/Ebi/Zanjiro Varchin.mp3,mp3
25,Pariya,Ebi,Single Track,-,1999,14:44,/var/home/miladsharifiteh/Music/Ebi/Pariya.mp3,mp3
26,Rahm Kon,Ebi,Avang 4,1,1977,05:17,/var/home/miladsharifiteh/Music/Ebi/Avang 4/1-Rahm Kon.mp3,mp3
27,Khorjin,Ebi,Avang 4,10,1977,08:54,/var/home/miladsharifiteh/Music/Ebi/Avang 4/10-Khorjin.mp3,mp3
28,To Ki Hasti,Ebi,Avang 4,11,1977,04:05,/var/home/miladsharifiteh/Music/Ebi/Avang 4/11-To Ki Hasti.mp3,mp3
29,Sayeh,Ebi,Avang 4,12,1977,06:15,/var/home/miladsharifiteh/Music/Ebi/Avang 4/12-Sayeh.mp3,mp3
