ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Bacheh Nasho Ey Del,Mahasti,Bacheh Nasho Ey Del - Sedaye Pa,1,1971,03:42,/var/home/miladsharifiteh/Music/Mahasti/Bacheh Nasho Ey Del - Sedaye Pa/1-Bache Nasho Ey Del.mp3,mp3
2,Sedaye Pa,Mahasti,Bacheh Nasho Ey Del - Sedaye Pa,2,1971,06:16,/var/home/miladsharifiteh/Music/Mahasti/Bacheh Nasho Ey Del - Sedaye Pa/2-Sedaye Pa.mp3,mp3
3,Digar Che Khahi,Mahasti,Digar Che Khahi (Shoushtari),1,1969,06:33,/var/home/miladsharifiteh/Music/Mahasti/Digar Che Khahi (Shoushtari)/1-Digar Che Khahi.mp3,mp3
4,Darbasteh,Mahasti,Hamisheh Ashegh,1,1990,05:04,/var/home/miladsharifiteh/Music/Mahasti/Hamisheh Ashegh/1-Darbasteh.mp3,mp3
5,Labkhand,Mahasti,Hamisheh Ashegh,2,1990,05:14,/var/home/miladsharifiteh/Music/Mahasti/Hamisheh Ashegh/2-Labkhand.mp3,mp3
6,Hoseleye Asheghi Nadaram,Mahasti,Hamisheh Ashegh,3,1990,05:33,/var/home/miladsharifiteh/Music/Mahasti/Hamisheh Ashegh/3-Hoseleye Asheghi Nadaram.mp3,mp3
7,Bi Mohabbat,Mahasti,Hamisheh Ashegh,4,1990,08:00,/var/home/miladsharifiteh/Music/Mahasti/Hamisheh Ashegh/4-Bi Mohabbat.mp3,mp3
8,Bas Kon,Mahasti,Hamisheh Ashegh,5,1990,07:12,/var/home/miladsharifiteh/Music/Mahasti/Hamisheh Ashegh/5-Bas Kon.mp3,mp3
9,Saboure Sharghi,Mahasti,Hamisheh Ashegh,6,1990,04:55,/var/home/miladsharifiteh/Music/Mahasti/Hamisheh Ashegh/6-Saboure Sharghi.mp3,mp3
10,Bi To Mimiram,Mahasti,Hamisheh Ashegh,7,1990,04:40,/var/home/miladsharifiteh/Music/Mahasti/Hamisheh Ashegh/7-Bi To Mimiram.mp3,mp3
