ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Gozashteh,Moein,Lahzeha,1,2002,03:48,/var/home/miladsharifiteh/Music/Moein/Lahzeha/1-Gozashteh.mp3,mp3
2,Lahzeha,Moein,Lahzeha,2,2002,05:16,/var/home/miladsharifiteh/Music/Moein/Lahzeha/2-Lahzeha.mp3,mp3
3,Ghasam Nakhor,Moein,Lahzeha,3,2002,05:14,/var/home/miladsharifiteh/Music/Moein/Lahzeha/3-Ghasam Nakhor.mp3,mp3
4,Yade To,Moein,Lahzeha,4,2002,04:59,/var/home/miladsharifiteh/Music/Moein/Lahzeha/4-Yade To.mp3,mp3
5,Shabaye Raftane To,Moein,Lahzeha,5,2002,05:13,/var/home/miladsharifiteh/Music/Moein/Lahzeha/5-Shabaye Raftane To.mp3,mp3
6,Zalem,Moein,Lahzeha,6,2002,04:25,/var/home/miladsharifiteh/Music/Moein/Lahzeha/6-Zalem.mp3,mp3
7,Faramousham Nakon,Moein,Lahzeha,7,2002,04:57,/var/home/miladsharifiteh/Music/Moein/Lahzeha/7-Faramousham Nakon.mp3,mp3
8,Ghasre Arezouha,Moein,Lahzeha,8,2002,04:16,/var/home/miladsharifiteh/Music/Moein/Lahzeha/8-Ghasre Arezouha.mp3,mp3
9,Sobhet Bekheyr Azizam,Moein,Sobhet Bekheyr Azizam,1,1992,07:17,/var/home/miladsharifiteh/Music/Moein/Sobhet Bekheyr Azizam/1-Sobhet Bekheyr Azizam.mp3,mp3
10,Termeh Va Atlas,Moein,Sobhet Bekheyr Azizam,2,1992,04:59,/var/home/miladsharifiteh/Music/Moein/Sobhet Bekheyr Azizam/2-Termeh Va Atlas.mp3,mp3
11,Khodam Miam Mibaramet,Moein,Sobhet Bekheyr Azizam,3,1992,05:34,/var/home/miladsharifiteh/Music/Moein/Sobhet Bekheyr Azizam/3-Khodam Miam Mibaramet.mp3,mp3
12,Bavaram Kon,Moein,Sobhet Bekheyr Azizam,4,1992,04:10,/var/home/miladsharifiteh/Music/Moein/Sobhet Bekheyr Azizam/4-Bavaram Kon.mp3,mp3
13,Asheghtar Az Man Che Kasi,Moein,Sobhet Bekheyr Azizam,5,1992,05:32,/var/home/miladsharifiteh/Music/Moein/Sobhet Bekheyr Azizam/5-Asheghtar Az Man Che Kasi.mp3,mp3
14,Chegouneh Chegouneh,Moein,Sobhet Bekheyr Azizam,6,1992,05:37,/var/home/miladsharifiteh/Music/Moein/Sobhet Bekheyr Azizam/6-Chegouneh Chegouneh.mp3,mp3
15,Tanhatarin Mard,Moein,Sobhet Bekheyr Azizam,7,1992,05:53,/var/home/miladsharifiteh/Music/Moein/Sobhet Bekheyr Azizam/7-Tanhatarin Mard.mp3,mp3
16,Pabepaye To,Moein,Sobhet Bekheyr Azizam,8,1992,05:31,/var/home/miladsharifiteh/Music/Moein/Sobhet Bekheyr Azizam/8-Pabepaye To.mp3,mp3
17,Music,Moein,Bibi Gol,8,1988,02:18,/var/home/miladsharifiteh/Music/Moein/Bibi Gol/8-Music.mp3,mp3
18,Bibi Gol II,Moein,Bibi Gol,6,1988,05:59,/var/home/miladsharifiteh/Music/Moein/Bibi Gol/6-Bibi Gol II.mp3,mp3
19,Kereshmeh,Moein,Bibi Gol,7,1988,10:07,/var/home/miladsharifiteh/Music/Moein/Bibi Gol/7-Kereshmeh.mp3,mp3
20,Khouneh,Moein,Bibi Gol,5,1988,05:41,/var/home/miladsharifiteh/Music/Moein/Bibi Gol/5-Khouneh.mp3,mp3
21,Bibi Gol I,Moein,Bibi Gol,1,1988,08:22,/var/home/miladsharifiteh/Music/Moein/Bibi Gol/1-Bibi Gol I.mp3,mp3
22,Eshghe Man,Moein,Bibi Gol,2,1988,04:10,/var/home/miladsharifiteh/Music/Moein/Bibi Gol/2-Eshghe Man.mp3,mp3
23,Ey Ankeh,Moein,Bibi Gol,3,1988,05:57,/var/home/miladsharifiteh/Music/Moein/Bibi Gol/3-Ey Ankeh.mp3,mp3
24,Delbaram Delbar,Moein,Bibi Gol,4,1988,05:41,/var/home/miladsharifiteh/Music/Moein/Bibi Gol/4-Delbaram Delbar.mp3,mp3
25,Arbabe Vafa I,Moein,Mosafer,2,1994,04:58,/var/home/miladsharifiteh/Music/Moein/Mosafer/2-Arbabe Vafa I.mp3,mp3
26,Mosafer,Moein,Mosafer,1,1994,22:43,/var/home/miladsharifiteh/Music/Moein/Mosafer/1-Mosafer.mp3,mp3
27,Ageh Dashtam Toro,Moein,Mosafer,3,1994,08:57,/var/home/miladsharifiteh/Music/Moein/Mosafer/3-Ageh Dashtam Toro.mp3,mp3
28,Ahange Mahali,Moein,Mosafer,4,1994,05:26,/var/home/miladsharifiteh/Music/Moein/Mosafer/4-Ahange Mahali.mp3,mp3
29,Arbabe Vafa II,Moein,Mosafer,5,1994,02:51,/var/home/miladsharifiteh/Music/Moein/Mosafer/5-Arbabe Vafa II.mp3,mp3
30,Esfahan,Moein,Delsoukhteh,1,1991,06:50,/var/home/miladsharifiteh/Music/Moein/Delsoukhteh/1-Esfahan.mp3,mp3
31,Paricheh,Moein,Delsoukhteh,2,1991,04:36,/var/home/miladsharifiteh/Music/Moein/Delsoukhteh/2-Paricheh.mp3,mp3
32,Delsoukhteh,Moein,Delsoukhteh,3,1991,06:12,/var/home/miladsharifiteh/Music/Moein/Delsoukhteh/3-Delsoukhteh.mp3,mp3
33,Delshekasteh,Moein,Delsoukhteh,4,1991,05:46,/var/home/miladsharifiteh/Music/Moein/Delsoukhteh/4-Delshekasteh.mp3,mp3
34,Khalegh,Moein,Delsoukhteh,5,1991,05:16,/var/home/miladsharifiteh/Music/Moein/Delsoukhteh/5-Khalegh.mp3,mp3
35,Safar,Moein,Delsoukhteh,6,1991,06:16,/var/home/miladsharifiteh/Music/Moein/Delsoukhteh/6-Safar.mp3,mp3
36,Zendegi,Moein,Namaz,1,1992,04:56,/var/home/miladsharifiteh/Music/Moein/Namaz/1-Zendegi.mp3,mp3
37,Namaz,Moein,Namaz,2,1992,05:36,/var/home/miladsharifiteh/Music/Moein/Namaz/2-Namaz.mp3,mp3
38,Heyran,Moein,Namaz,3,1992,05:10,/var/home/miladsharifiteh/Music/Moein/Namaz/3-Heyran.mp3,mp3
39,Che Konam Asheghe Iranam Man,Moein,Namaz,4,1992,06:23,/var/home/miladsharifiteh/Music/Moein/Namaz/4-Che Konam Asheghe Iranam Man.mp3,mp3
40,Neyrang,Moein,Namaz,5,1992,05:24,/var/home/miladsharifiteh/Music/Moein/Namaz/5-Neyrang.mp3,mp3
41,Ta Az Dar Oumad,Moein,Namaz,6,1992,04:06,/var/home/miladsharifiteh/Music/Moein/Namaz/6-Ta Az Dar Oumad.mp3,mp3
42,Sayeh,Moein,Donyaye Eshgh,2,2007,05:28,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/2-Sayeh.mp3,mp3
43,Shabaye Raftane To,Moein,Donyaye Eshgh,3,2007,05:13,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/3-Shabaye Raftane To.mp3,mp3
44,Moamma,Moein,Donyaye Eshgh,4,2007,06:21,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/4-Moamma.mp3,mp3
45,Souze Del,Moein,Donyaye Eshgh,5,2007,04:10,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/5-Souze Del.mp3,mp3
46,Bahaneh,Moein,Donyaye Eshgh,6,2007,04:10,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/6-Bahaneh.mp3,mp3
47,Faramousham Nakon,Moein,Donyaye Eshgh,7,2007,04:57,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/7-Faramousham Nakon.mp3,mp3
48,In Che Eshghist,Moein,Donyaye Eshgh,8,2007,04:42,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/8-In Che Eshghist.mp3,mp3
49,Neyrang,Moein,Donyaye Eshgh,9,2007,05:23,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/9-Neyrang.mp3,mp3
50,Roya,Moein,Donyaye Eshgh,1,2007,04:14,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/1-Roya.mp3,mp3
51,Zendegi,Moein,Donyaye Eshgh,10,2007,04:56,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/10-Zendegi.mp3,mp3
52,Namaz,Moein,Donyaye Eshgh,11,2007,05:36,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/11-Namaz.mp3,mp3
53,Elaheye Naz,Moein,Donyaye Eshgh,12,2007,04:46,/var/home/miladsharifiteh/Music/Moein/Donyaye Eshgh/12-Elaheye Naz.mp3,mp3
54,Panjereh,Moein,Panjereh,1,1997,06:40,/var/home/miladsharifiteh/Music/Moein/Panjereh/1-Panjereh.mp3,mp3
55,Naji,Moein,Panjereh,2,1997,04:28,/var/home/miladsharifiteh/Music/Moein/Panjereh/2-Naji.mp3,mp3
56,Ham Ghasam,Moein,Panjereh,3,1997,05:12,/var/home/miladsharifiteh/Music/Moein/Panjereh/3-Ham Ghasam.mp3,mp3
57,Be Didaram Biya,Moein,Panjereh,4,1997,05:00,/var/home/miladsharifiteh/Music/Moein/Panjereh/4-Be Didaram Biya.mp3,mp3
58,Asheghaneh,Moein,Panjereh,5,1997,06:08,/var/home/miladsharifiteh/Music/Moein/Panjereh/5-Asheghaneh.mp3,mp3
59,Gonah,Moein,Panjereh,6,1997,04:04,/var/home/miladsharifiteh/Music/Moein/Panjereh/6-Gonah.mp3,mp3
60,Hichkas Mesle To Naboud,Moein,Panjereh,7,1997,06:20,/var/home/miladsharifiteh/Music/Moein/Panjereh/7-Hichkas Mesle To Naboud.mp3,mp3
61,Doa,Moein,Panjereh,8,1997,04:59,/var/home/miladsharifiteh/Music/Moein/Panjereh/8-Doa.mp3,mp3
62,Aghoush,Moein,Single Track,-,2013,04:15,/var/home/miladsharifiteh/Music/Moein/Aghoush.mp3,mp3
63,Khatereh,Moein,Single Track,-,2013,04:16,/var/home/miladsharifiteh/Music/Moein/Khatereh.mp3,mp3
64,Ashegh Ke Beshi,Moein,Single Track,-,2015,03:19,/var/home/miladsharifiteh/Music/Moein/Ashegh Ke Beshi.mp3,mp3
65,Atashe Del,Moein,Single Track,-,2015,05:24,/var/home/miladsharifiteh/Music/Moein/Atashe Del.mp3,mp3
66,Be To Madyounam,Moein,Single Track,-,2014,03:13,/var/home/miladsharifiteh/Music/Moein/Be To Madyounam.mp3,mp3
67,Be Yade Sousan,Moein,Single Track,-,2017,02:31,/var/home/miladsharifiteh/Music/Moein/Be Yade Sousan.mp3,mp3
68,Bi To Nemitounam,Moein,Single Track,-,2016,02:45,/var/home/miladsharifiteh/Music/Moein/Bi To Nemitounam.mp3,mp3
69,Che Sali Besheh Emsal,Moein,Single Track,-,2016,03:12,/var/home/miladsharifiteh/Music/Moein/Che Sali Besheh Emsal.mp3,mp3
70,Delam Tangeteh (Live),Moein,Single Track,-,2016,05:32,/var/home/miladsharifiteh/Music/Moein/Delam Tangeteh (Live).mp3,mp3
71,Delam Tangeteh,Moein,Single Track,-,2011,05:17,/var/home/miladsharifiteh/Music/Moein/Delam Tangeteh.mp3,mp3
