ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Angizeh,Shadmehr Aghili,Pop Corn,1,2006,04:03,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/1-Angizeh.mp3,mp3
2,Biya Inja,Shadmehr Aghili,Pop Corn,2,2006,04:19,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/2-Biya Inja.mp3,mp3
3,Mikhastamet,Shadmehr Aghili,Pop Corn,3,2006,04:57,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/3-Mikhastamet.mp3,mp3
4,Ouneh Ouneh,Shadmehr Aghili,Pop Corn,4,2006,04:02,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/4-Ouneh Ouneh.mp3,mp3
5,Pop Corn,Shadmehr Aghili,Pop Corn,5,2006,05:00,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/5-Pop Corn.mp3,mp3
6,Bi To,Shadmehr Aghili,Pop Corn,6,2006,04:30,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/6-Bi To.mp3,mp3
7,Mahal,Shadmehr Aghili,Pop Corn,7,2006,04:15,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/7-Mahal.mp3,mp3
8,Aghoush,Shadmehr Aghili,Pop Corn,8,2006,04:35,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/8-Aghoush.mp3,mp3
9,Mandegar,Shadmehr Aghili,Pop Corn,9,2006,06:18,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pop Corn/9-Mandegar.mp3,mp3
10,Khake Astane Ali,Shadmehr Aghili,Fasle Ashenaei,1,1997,05:07,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/1-Khake Astane Ali.mp3,mp3
11,Noktedane Eshgh,Shadmehr Aghili,Fasle Ashenaei,10,1997,05:59,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/10-Noktedane Eshgh.mp3,mp3
12,Maeboud,Shadmehr Aghili,Fasle Ashenaei,11,1997,04:00,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/11-Maeboud.mp3,mp3
13,Ghesseye Parandeha,Shadmehr Aghili,Fasle Ashenaei,2,1997,04:46,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/2-Ghesseye Parandeha.mp3,mp3
14,Aeine Hamdardi,Shadmehr Aghili,Fasle Ashenaei,3,1997,04:22,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/3-Aeine Hamdardi.mp3,mp3
15,Baghe Zendegi,Shadmehr Aghili,Fasle Ashenaei,4,1997,03:47,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/4-Baghe Zendegi.mp3,mp3
16,Fasle Ashenaei,Shadmehr Aghili,Fasle Ashenaei,5,1997,03:54,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/5-Fasle Ashenaei.mp3,mp3
17,Eydaneh,Shadmehr Aghili,Fasle Ashenaei,6,1997,04:58,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/6-Eydaneh.mp3,mp3
18,Mano To Derakhto Baroun,Shadmehr Aghili,Fasle Ashenaei,7,1997,04:57,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/7-Mano To Derakhto Baroun.mp3,mp3
19,Aeinedar,Shadmehr Aghili,Fasle Ashenaei,8,1997,05:33,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/8-Aeinedar.mp3,mp3
20,Vaslo Hejran,Shadmehr Aghili,Fasle Ashenaei,9,1997,06:50,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Fasle Ashenaei/9-Vaslo Hejran.mp3,mp3
21,Kal Kal,Shadmehr Aghili,Adam Foroush,7,2003,04:11,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adam Foroush/7-Kal Kal.mp3,mp3
22,Adam Foroush,Shadmehr Aghili,Adam Foroush,1,2003,04:29,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adam Foroush/1-Adam Foroush.mp3,mp3
23,Omran,Shadmehr Aghili,Adam Foroush,2,2003,03:55,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adam Foroush/2-Omran.mp3,mp3
24,Ashke Man,Shadmehr Aghili,Adam Foroush,3,2003,04:48,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adam Foroush/3-Ashke Man.mp3,mp3
25,Dele Divouneh,Shadmehr Aghili,Adam Foroush,4,2003,04:51,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adam Foroush/4-Dele Divouneh.mp3,mp3
26,Tahdid,Shadmehr Aghili,Adam Foroush,5,2003,04:04,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adam Foroush/5-Tahdid.mp3,mp3
27,Vaghti Gofti Naro,Shadmehr Aghili,Adam Foroush,6,2003,03:41,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adam Foroush/6-Vaghti Gofti Naro.mp3,mp3
28,Hejrat,Shadmehr Aghili,Adamo Havva,1,2001,04:34,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/1-Hejrat.mp3,mp3
29,Kaebeye Eshgh,Shadmehr Aghili,Adamo Havva,10,2001,03:33,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/10-Kaebeye Eshgh.mp3,mp3
30,Jaddeh (Nazanin),Shadmehr Aghili,Adamo Havva,2,2001,06:40,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/2-Jaddeh (Nazanin).mp3,mp3
31,Ghoroub,Shadmehr Aghili,Adamo Havva,3,2001,03:41,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/3-Ghoroub.mp3,mp3
32,Dorangi,Shadmehr Aghili,Adamo Havva,4,2001,03:45,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/4-Dorangi.mp3,mp3
33,Adamo Havva,Shadmehr Aghili,Adamo Havva,5,2001,04:41,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/5-Adamo Havva.mp3,mp3
34,Emrouzo Farda,Shadmehr Aghili,Adamo Havva,6,2001,05:07,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/6-Emrouzo Farda.mp3,mp3
35,Bahouneh,Shadmehr Aghili,Adamo Havva,7,2001,03:53,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/7-Bahouneh.mp3,mp3
36,Bi To Hargez,Shadmehr Aghili,Adamo Havva,8,2001,04:56,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/8-Bi To Hargez.mp3,mp3
37,Setareh,Shadmehr Aghili,Adamo Havva,9,2001,04:56,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Adamo Havva/9-Setareh.mp3,mp3
38,Atish Bazi,Shadmehr Aghili,Pare Parvaz,1,2000,03:05,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pare Parvaz/1-Atish Bazi.mp3,mp3
39,Atish Bazi (Instrumental),Shadmehr Aghili,Pare Parvaz,10,2000,03:31,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pare Parvaz/10-Atish Bazi (Instrumental).mp3,mp3
40,Alamate Soal (Instrumental),Shadmehr Aghili,Pare Parvaz,11,2000,03:50,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pare Parvaz/11-Alamate Soal (Instrumental).mp3,mp3
41,Pare Parvaz (Instrumental),Shadmehr Aghili,Pare Parvaz,12,2000,05:55,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pare Parvaz/12-Pare Parvaz (Instrumental).mp3,mp3
42,Instrumental VII,Shadmehr Aghili,Pare Parvaz,13,2000,02:19,/var/home/miladsharifiteh/Music/Shadmehr Aghili/Pare Parvaz/13-Instrumental VII.mp3,mp3
