ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Havaye Khaneh,Siavash Ghomayshi,Havaye Khaneh,1,1996,04:06,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Havaye Khaneh/1-Havaye Khaneh.mp3,mp3
2,Toloue,Siavash Ghomayshi,Havaye Khaneh,2,1996,07:27,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Havaye Khaneh/2-Toloue.mp3,mp3
3,Jazireh,Siavash Ghomayshi,Havaye Khaneh,3,1996,03:44,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Havaye Khaneh/3-Jazireh.mp3,mp3
4,Nameh,Siavash Ghomayshi,Havaye Khaneh,4,1996,04:05,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Havaye Khaneh/4-Nameh.mp3,mp3
5,Panjereh,Siavash Ghomayshi,Havaye Khaneh,5,1996,06:39,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Havaye Khaneh/5-Panjereh.mp3,mp3
6,Dodeli,Siavash Ghomayshi,Havaye Khaneh,6,1996,04:26,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Havaye Khaneh/6-Dodeli.mp3,mp3
7,Ghabe Shisheei,Siavash Ghomayshi,Ghabe Shisheei,1,1998,05:13,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Ghabe Shisheei/1-Ghabe Shisheei.mp3,mp3
8,Ba Man Bash,Siavash Ghomayshi,Ghabe Shisheei,2,1998,05:10,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Ghabe Shisheei/2-Ba Man Bash.mp3,mp3
9,Golaye Pouneh,Siavash Ghomayshi,Ghabe Shisheei,3,1998,06:11,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Ghabe Shisheei/3-Golaye Pouneh.mp3,mp3
10,Geleh,Siavash Ghomayshi,Ghabe Shisheei,4,1998,03:56,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Ghabe Shisheei/4-Geleh.mp3,mp3
11,Divouneh,Siavash Ghomayshi,Ghabe Shisheei,5,1998,05:18,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Ghabe Shisheei/5-Divouneh.mp3,mp3
12,Rosvatarin Ashegh,Siavash Ghomayshi,Ghabe Shisheei,6,1998,06:00,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Ghabe Shisheei/6-Rosvatarin Ashegh.mp3,mp3
13,Tak,Siavash Ghomayshi,Tak,1,1993,05:00,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Tak/1-Tak.mp3,mp3
14,Farda,Siavash Ghomayshi,Tak,2,1993,04:16,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Tak/2-Farda.mp3,mp3
15,Baghe Baroun Zadeh,Siavash Ghomayshi,Tak,3,1993,05:54,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Tak/3-Baghe Baroun Zadeh.mp3,mp3
16,Cheshm Entezar,Siavash Ghomayshi,Tak,4,1993,04:26,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Tak/4-Cheshm Entezar.mp3,mp3
17,Gereye Gom,Siavash Ghomayshi,Tak,5,1993,04:28,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Tak/5-Gereye Gom.mp3,mp3
18,Setareh,Siavash Ghomayshi,Tak,6,1993,04:26,/var/home/miladsharifiteh/Music/Siavash Ghomayshi/Tak/6-Setareh.mp3,mp3
