ID,Title,Artist,Album,Track,Date,Length,Path,Format
1,Yeki Ra Doust Midaram,Hayedeh,Yeki Ra Doust Midaram,1,1983,10:32,/var/home/miladsharifiteh/Music/Various Artists/Yeki Ra Doust Midaram/1-Yeki Ra Doust Midaram.mp3,mp3
2,Biya Benevisim,Mahasti,Yeki Ra Doust Midaram,2,1983,05:23,/var/home/miladsharifiteh/Music/Various Artists/Yeki Ra Doust Midaram/2-Biya Benevisim.mp3,mp3
3,Shifteye Bala,Houshmand Aghili,Yeki Ra Doust Midaram,3,1983,04:29,/var/home/miladsharifiteh/Music/Various Artists/Yeki Ra Doust Midaram/3-Shifteye Bala.mp3,mp3
4,Mehre To,Houshmand Aghili,Yeki Ra Doust Midaram,4,1983,06:26,/var/home/miladsharifiteh/Music/Various Artists/Yeki Ra Doust Midaram/4-Mehre To.mp3,mp3
5,Hamisheh Ashegh,Mahasti,Yeki Ra Doust Midaram,5,1983,03:33,/var/home/miladsharifiteh/Music/Various Artists/Yeki Ra Doust Midaram/5-Hamisheh Ashegh.mp3,mp3
6,Ey Pari Kojaei,Houshmand Aghili,Yeki Ra Doust Midaram,6,1983,05:19,/var/home/miladsharifiteh/Music/Various Artists/Yeki Ra Doust Midaram/6-Ey Pari Kojaei.mp3,mp3
7,Music,Instrumental,Yeki Ra Doust Midaram,7,1983,05:06,/var/home/miladsharifiteh/Music/Various Artists/Yeki Ra Doust Midaram/7-Music.mp3,mp3
8,Shabzadeh,Ebi,Yadboudi Az Varouzhan,1,1977,04:40,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/1-Shabzadeh.mp3,mp3
9,Bouye Khoube Gandom,Dariush,Yadboudi Az Varouzhan,10,1977,08:20,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/10-Bouye Khoube Gandom.mp3,mp3
10,Mah Pishouni,Gougoush,Yadboudi Az Varouzhan,11,1977,03:25,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/11-Mah Pishouni.mp3,mp3
11,Pouste Shir,Ebi,Yadboudi Az Varouzhan,12,1977,03:03,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/12-Pouste Shir.mp3,mp3
12,Eshghe Man Ashegham Bash,Dariush,Yadboudi Az Varouzhan,13,1977,04:04,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/13-Eshghe Man Ashegham Bash.mp3,mp3
13,Hafteye Khakestari,Farhad,Yadboudi Az Varouzhan,2,1977,03:45,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/2-Hafteye Khakestari.mp3,mp3
14,Gahvareh,Gougoush,Yadboudi Az Varouzhan,3,1977,04:23,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/3-Gahvareh.mp3,mp3
15,Ejazeh,Dariush,Yadboudi Az Varouzhan,4,1977,04:00,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/4-Ejazeh.mp3,mp3
16,Shame Akhar,Sattar,Yadboudi Az Varouzhan,5,1977,04:52,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/5-Shame Akhar.mp3,mp3
17,Fasle Tazeh,Gougoush,Yadboudi Az Varouzhan,6,1977,03:12,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/6-Fasle Tazeh.mp3,mp3
18,Baradar Jan,Dariush,Yadboudi Az Varouzhan,7,1977,05:36,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/7-Baradar Jan.mp3,mp3
19,Kandou,Ebi,Yadboudi Az Varouzhan,8,1977,04:20,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/8-Kandou.mp3,mp3
20,Pol,Gougoush,Yadboudi Az Varouzhan,9,1977,05:34,/var/home/miladsharifiteh/Music/Various Artists/Yadboudi Az Varouzhan/9-Pol.mp3,mp3
21,Sahme Man,Dariush,Nouno Paniro Sabzi 2,1,1992,05:14,/var/home/miladsharifiteh/Music/Various Artists/Nouno Paniro Sabzi 2/1-Sahme Man.mp3,mp3
22,Razeghi,Ebi,Nouno Paniro Sabzi 2,2,1992,04:55,/var/home/miladsharifiteh/Music/Various Artists/Nouno Paniro Sabzi 2/2-Razeghi.mp3,mp3
23,Ahay Mardome Donya,Dariush,Nouno Paniro Sabzi 2,3,1992,04:37,/var/home/miladsharifiteh/Music/Various Artists/Nouno Paniro Sabzi 2/3-Ahay Mardome Donya.mp3,mp3
24,Nouno Paniro Sabzi,Ebi Ft Dariush,Nouno Paniro Sabzi 2,4,1992,09:30,/var/home/miladsharifiteh/Music/Various Artists/Nouno Paniro Sabzi 2/4-Nouno Paniro Sabzi.mp3,mp3
25,Setareye Donbaledar,Ebi,Nouno Paniro Sabzi 2,5,1992,05:35,/var/home/miladsharifiteh/Music/Various Artists/Nouno Paniro Sabzi 2/5-Setareye Donbaledar.mp3,mp3
26,Mohtaj,Ebi,Mohtaj,1,1996,05:20,/var/home/miladsharifiteh/Music/Various Artists/Mohtaj/1-Mohtaj.mp3,mp3
27,Tekiyeh Bar Bad,Dariush,Mohtaj,2,1996,04:35,/var/home/miladsharifiteh/Music/Various Artists/Mohtaj/2-Tekiyeh Bar Bad.mp3,mp3
28,Setareye Donbaledar,Ebi,Mohtaj,3,1996,05:37,/var/home/miladsharifiteh/Music/Various Artists/Mohtaj/3-Setareye Donbaledar.mp3,mp3
